a  /ah /a
distracted  /d ih s t r ae k t ih d /d i s t r a c t e d
distress  /d ih s t r eh s /d i s t r e ss
distributed  /d ih s t r ih b y uw t ih d /d i s t r i b * u t e d
districts  /d ih s t r ih k t s /d i s t r i c t s
disturb  /d ih s t er b /d i s t ur b
ditches  /d ih ch ih z /d i tch e s
dive  /d ay v /d i ve  
diversity  /d ah v er s ih t iy /d i v er s i t y
divided  /d ah v ay d ih d /d i v i d e d
divinities  /d ah v ih en ih t iy z /d i v i n i t ie s
division  /d ah v ih sh ih en /d i v i si o n
divorce  /d ah v ao r s /d i v o r ce  
divorced  /d ah v ao r s t /d i v o r c ed
divorcee  /d ah v ao r s ey /d i v o r c ee  
do  /d uw /d o
doctor  /d ao k t er /d o c t or
doctors  /d ao k t er z /d o c t or s
doctrine  /d ao k t r ah en /d o c t r i ne  
documented  /d ao k y uw m eh en t ih d /d o c * u m e n t e d
documents  /d ao k y uw m ah en t s /d o c * u m e n t s
dodging  /d ao jh ih ng /d o dg i ng
does  /d ah z /d oe s
doesn't  /d ah z en t /d oe s n' t
dog  /d ao g /d o g
dogmatically  /d ao g m ae t ih k ah el iy /d o g m a t i c a ll y
dogs  /d ao g z /d o g s
doin'  /d uw ih en /d o i n'  
doing  /d uw ih ng /d o i ng
doll  /d ao el /d o ll
dollar  /d ao el er /d o ll ar
dollar-and-cents  /d ao el er ae en d s eh en t s /d o ll ar- a n d- c e n t s
dollars  /d ao el er z /d o ll ar s
dollars-and-cents  /d ao el er z ae en d s eh en t s /d o ll ar s- a n d- c e n t s
dolphins  /d ao el f ah en z /d o l ph i n s
dome  /d ow m /d o me  
domestic  /d ah m eh s t ih k /d o m e s t i c
dominant  /d ao m ih en ih en t /d o m i n a n t
dominated  /d ao m ih en ey t ih d /d o m i n a t e d
don't  /d ow en t /d o n' t
donate  /d ow en ey t /d o n a te  
donated  /d ow en ey t ih d /d o n a t e d
done  /d ah en /d o ne  
door  /d ao r /d oo r
doors  /d ao r z /d oo r s
doorways  /d ao r w ey z /d oo r w ay s
dormitories  /d ao r m ah t ao r iy z /d o r m i t o r ie s
doses  /d ow s ih z /d o s e s
double  /d ah b el /d ou b le  
double-glaze  /d ah b el g el ey z /d ou b le- g l a ze  
doubt  /d aw t /d oub t
dough  /d ow /d ough
doused  /d aw s t /d ou s ed
down  /d aw en /d ow n
downpour  /d aw en p ao r /d ow n p ou r
downstairs  /d aw en s t ae r z /d ow n s t ai r s
downtown  /d aw en t aw en /d ow n t ow n
downward  /d aw en w er d /d ow n w ar d
dozen  /d ah z en /d o z en
drain  /d r ey en /d r ai n
dramatic  /d r ah m ae t ih k /d r a m a t i c
drank  /d r ae ng k /d r a n k
drastically  /d r ae s t ih k el iy /d r a s t i c all y
draw  /d r ao /d r aw  
drawing  /d r ao ih ng /d r aw i ng
drawled  /d r ao el d /d r aw l ed
drawn  /d r ao en /d r aw n
dream  /d r iy m /d r ea m
dreams  /d r iy m z /d r ea m s
drenched  /d r eh en ch t /d r e n ch ed
dress  /d r eh s /d r e ss
dressing  /d r eh s ih ng /d r e ss i ng
dressy  /d r eh s iy /d r e ss y
drew  /d r uw /d r ew
dried  /d r ay d /d r i ed
drift  /d r ih f t /d r i f t
drifted  /d r ih f t ih d /d r i f t e d
drifting  /d r ih f t ih ng /d r i f t i ng
drink  /d r ih ng k /d r i n k
drinkers  /d r ih ng k er z /d r i n k er s
drive  /d r ay v /d r i ve  
driven  /d r ih v ah en /d r i v e n
drivers  /d r ay v er z /d r i v er s
driving  /d r ay v ih ng /d r i v i ng
drop  /d r ao p /d r o p
dropped  /d r ao p t /d r o pp ed
drops  /d r ao p s /d r o p s
drought  /d r aw t /d r ough t
drove  /d r ow v /d r o ve  
drug  /d r ah g /d r u g
drug's  /d r ah g z /d r u g' s
drugs  /d r ah g z /d r u g s
drugstore  /d r ah g s t ao r /d r u g s t o re  
drunk  /d r ah ng k /d r u n k
drunkard  /d r ah ng k er d /d r u n k ar d
drunkards  /d r ah ng k er d z /d r u n k ar d s
drunkenness  /d r ah ng k ah en ih s /d r u n k e nn e ss
dry  /d r ay /d r y
drying  /d r ay ih ng /d r y i ng
dubious  /d uw b iy ah s /d u b i ou s
duck  /d ah k /d u ck
ducks  /d ah k s /d u ck s
due  /d uw /d ue  
dug  /d ah g /d u g
dull  /d ah el /d u ll
dumb  /d ah m /d u mb  
dumped  /d ah m p t /d u m p ed
duplicate  /d uw p el ih k ih t /d u p l i c a te  
during  /d uh r ih ng /d u r i ng
dust  /d ah s t /d u s t
dusting  /d ah s t ih ng /d u s t i ng
dutch  /d ah ch /d u tch  
duty  /d uw t iy /d u t y
dwarf  /d w ao r f /d w a r f
dwell  /d w eh el /d w e ll
dyeing  /d ay ih ng /d y ei ng
dying  /d ay ih ng /d y i ng
dynamics  /d ay en ae m ih k s /d y n a m i c s
dynastic  /d ay en ae s t ih k /d y n a s t i c
each  /iy ch /ea ch
eagerly  /iy g er el iy /ea g er l y
eagerness  /iy g er en ih s /ea g er n e ss
ear  /ih r /ea r
earlier  /er el iy er /ear l i er
early  /er el iy /ear l y
earn  /er en /ear n
earnestly  /er en ih s t el iy /ear n e s t l y
ears  /ih r z /ea r s
earth  /er th /ear th
earth's  /er th s /ear th' s
earthenware  /er th ah en w ae r /ear th e n w a re  
earthly  /er th el iy /ear th l y
earthquake  /er th k w ey k /ear th q u a ke  
ease  /iy z /ea se  
eased  /iy z d /ea s ed
easier  /iy z iy er /ea s i er
easily  /iy z ah el iy /ea s i l y
eastern  /iy s t er en /ea s t er n
easy  /iy z iy /ea s y
easygoing  /iy z iy g ow ih ng /ea s y g o i ng
eat  /iy t /ea t
eaten  /iy t en /ea t en
eating  /iy t ih ng /ea t i ng
eccentricity  /eh k s eh en t r ih s ih t iy /e c c e n t r i c i t y
echo  /eh k ow /e ch o
economic  /eh k ih en ao m ih k /e c o n o m i c
economically  /eh k ih en ao m ih k el iy /e c o n o m i c all y
economy  /ih k ao en ah m iy /e c o n o m y
ecumenical  /eh k y uh m eh en ih k el /e c * u m e n i c al
edge  /eh jh /e dge  
edges  /eh jh ih z /e dg e s
edgy  /eh d jh iy /e d g y
education  /eh jh ih k ey sh ih en /e d u c a * * tion
educational  /eh jh ih k ey sh ih en el /e d u c a * * tion al
effect  /ih f eh k t /e ff e c t
effective  /ih f eh k t ih v /e ff e c t i ve  
effects  /ih f eh k t s /e ff e c t s
efficiency  /ih f ih sh ih en s iy /e ff i c i en c y
efficient  /ih f ih sh ih en t /e ff i c i en t
effort  /eh f er t /e ff or t
egg  /eh g /e gg
egg-sized  /eh g s ay z d /e gg- s i z ed
eggs  /eh g z /e gg s
ego  /iy g ow /e g o
egotist  /iy g ow t ih s t /e g o t i s t
eight  /ey t /eigh t
eighteenth  /ey t iy en th /eigh t ee n th
either  /iy dh er /ei th er
elaborately  /ah el ae b er ah t el iy /e l a b or a t el y
elbowing  /eh el b ow ih ng /e l b ow i ng
elderly  /eh el d er el iy /e l d er l y
election  /ah el eh k sh ih en /e l e c * * tion
electric  /ah el eh k t r ih k /e l e c t r i c
electrical  /ah el eh k t r ih k el /e l e c t r i c al
electricity  /ah el eh k t r ih s ih t iy /e l e c t r i c i t y
electron  /ah el eh k t r ao en /e l e c t r o n
electronic  /ah el eh k t r ao en ih k /e l e c t r o n i c
electrostatic  /ah el eh k t r ah s t ae t ih k /e l e c t r o s t a t i c
elegant  /eh el ih g ih en t /e l e g a n t
element  /eh el ah m ah en t /e l e m e n t
elementary  /eh el ah m eh en t er iy /e l e m e n t ar y
elementary-school  /eh el ah m eh en t er iy s k uw el /e l e m e n t ar y- s ch oo l
elements  /eh el ah m ah en t s /e l e m e n t s
elevator  /eh el ah v ey t er /e l e v a t or
eleven  /ah el eh v ah en /e l e v e n
ellipsoids  /ah el ih p s oy d /e ll i p s oi ds  
elm  /eh el m /e l m
elongation  /ih el ao ng g ey sh ih en /e l o n g a * * tion
else  /eh el s /e l se  
elsewhere  /eh el s w ae r /e l se wh e re  
embankment  /ih m b ae ng k m ah en t /e m b a n k m e n t
emblem  /eh m b el ah m /e m b l e m
embodiment  /eh m b ao d ih m ah en t /e m b o d i m e n t
embracing  /eh m b r ey s ih ng /e m b r a c i ng
emerge  /ih m er jh /e m er ge  
emergency  /ih m er jh ih en s iy /e m er g e n c y
emotion  /ih m ow sh ih en /e m o * * tion
emotional  /ih m ow sh ih en el /e m o * * tion al
emotionally  /ih m ow sh ih en ah el iy /e m o * * tion a ll y
emotions  /ih m ow sh ih en z /e m o * * tion s
emperor  /eh m p er er /e m p er or
emphasis  /eh m f ah s ih s /e m ph a s i s
emphasize  /eh m f ah s ay z /e m ph a s i ze  
emphasized  /eh m f ah s ay z d /e m ph a s i z ed
emphysema  /eh m f ah z iy m ao /e m ph y s e m a
empirical  /ih m p ih r ih k el /e m p i r i c al
employee  /ih m p el oy iy /e m p l oy ee
employees  /ih m p el oy iy z /e m p l oy ee s
employment  /ih m p el oy m ah en t /e m p l oy m e n t
empty  /eh m p t iy /e m p t y
enabling  /ih en ey b el ih ng /e n a b l i ng
enact  /ih en ae k t /e n a c t
enamel  /ih en ae m el /e n a m el
encamped  /ih en k ae m p t /e n c a m p ed
enclosed  /eh en k el ow z d /e n c l o s ed
encountered  /ih en k aw en t er d /e n c ou n t er ed
encourage  /ih en k er ih jh /e n co ur a ge  
encouraged  /ih en k er ih jh d /e n co ur a g ed
encyclopedias  /ih en s ay k el ah p iy d iy ah z /e n c y c l o p e d i a s
end  /eh en d /e n d
endeavored  /ih en d eh v er d /e n d ea v or ed
ended  /eh en d ih d /e n d e d
endosperm  /eh en d ow s p er m /e n d o s p er m
ends  /eh en d z /e n d s
endurance  /eh en d uh r en s /e n d u ra n ce  
enemy  /eh en ah m iy /e n e m y
energy  /eh en er jh iy /e n er g y
engine  /eh en jh ih en /e n g i ne  
engineer  /eh en jh ih en ih r /e n g i n ee r
engineering  /eh en jh ih en ih r ih ng /e n g i n ee r i ng
engineers'  /eh en jh ih en ih r z /e n g i n ee r s'  
engulfed  /eh en g ah el f t /e n g u l f ed
enigma  /ih en ih g m ah /e n i g m a
enjoy  /eh en jh oy /e n j oy
enjoyed  /eh en jh oy d /e n j oy ed
enlightenment  /ih en el ay t en m ah en t /e n l igh t en m e n t
enlisted  /ih en el ih s t ih d /e n l i s t e d
enormous  /ih en ao r m ah s /e n o r m ou s
enough  /ih en ah f /e n ou gh
enrich  /ih en r ih ch /e n r i ch
ensue  /ih en s uw /e n s ue  
enter  /eh en t er /e n t er
entertaining  /eh en t er t ey en ih ng /e n t er t ai n i ng
enthusiastic  /ih en th uw z iy ae s t ih k /e n th u s i a s t i c
entire  /ih en t ay er /e n t i re  
entirely  /ih en t ay er el iy /e n t i r el y
entitle  /ih en t ay t el /e n t i t le  
entity  /eh en ih t iy /e nt i t y
entries  /eh en t r iy z /e n t r ie s
entropy  /eh en t r ah p iy /e n t r o p y
entry  /eh en t r iy /e n t r y
envelope  /eh en v ah el ow p /e n v e l o pe  
environment  /eh en v ay r ah en m ah en t /e n v i r o n m e n t
environments  /eh en v ay r ah en m ah en t s /e n v i r o n m e n t s
enzyme  /eh en z ay m /e n z y me  
ephemeral  /eh f eh m er el /e ph e m er al
epidemic  /eh p ah d eh m ih k /e p i d e m i c
episode  /eh p ah s ow d /e p i s o de  
equal  /iy k w el /e q u al
equally  /iy k w el iy /e q u all y
equation  /ih k w ey sh ih en /e q u a * * tion
equipment  /ah k w ih p m ah en t /e q u i p m e n t
equipped  /ah k w ih p t /e q u i pp ed
equivalent  /ih k w ih v el ah en t /e q u i v al e n t
era  /eh r ah /e r a
erect  /ih r eh k t /e r e c t
erotic  /ih r ao t ih k /e r o t i c
errors  /eh r er z /e rr or s
eruption  /ih r ah p sh ih en /e r u p * * tion
escalator  /eh s k ah el ey t er /e s c a l a t or
escape  /eh s k ey p /e s c a pe  
esoteric  /eh s ah t eh r ih k /e s o t e r i c
especially  /ih s p eh sh ah el iy /e s p e c i all y
essay  /eh s ey /e ss ay
essential  /ih s eh en sh el /e ss e n ti al
essentially  /ih s eh en sh ah el iy /e ss e n t i all y
establish  /ih s t ae b el ih sh /e s t a b l i sh
establishment  /ih s t ae b el ih sh m ah en t /e s t a b l i sh m e n t
estimate  /eh s t ih m ih t /e s t i m a te  
estimates  /eh s t ih m ih t s /e s t i m a te s
eternal  /ih t er en el /e t er n al
eternity  /ih t er en ih t iy /e t er n i t y
etiquette  /eh t ih k ih t /e t i q ue tte  
evacuate  /ih v ae k y uw ey t /e v a c * u a te  
evaluate  /ih v ae el y uw ey t /e v a l * u a te  
evaluated  /ih v ae el y uw ey t ih d /e v a l * u a t e d
evaluation  /ih v ae el y uw ey sh ih en /e v a l * u a * * tion
evasive  /ih v ey s ih v /e v a s i ve  
even  /iy v ah en /e v e n
evening  /iy v en ih ng /e v en i ng
evenly  /iy v ah en el iy /e v e n l y
events  /ah v eh en t s /e v e n t s
eventualities  /ih v eh en ch uw ae el ih t iy z /e v e n t u a l i t ie s
eventually  /ih v eh en ch uw ah el iy /e v e n t u a ll y
ever  /eh v er /e v er
ever-increasing  /eh v er ih en k r iy s ih ng /e v er- i n c r ea s i ng
every  /eh v r iy /e ve r y
everybody  /eh v r iy b ah d iy /e ve r y b o d y
everyone  /eh v r iy w ah en /e ve r y * o ne  
everything  /eh v r iy th ih ng /e ve r y th i ng
evidence  /eh v ih d ih en s /e v i d e n ce  
evident  /eh v ih d ih en t /e v i d e n t
evocative  /ih v ao k ah t ih v /e v o c a t i ve  
evolve  /ih v ao el v /e v o l ve  
exacerbated  /ih g z ae s er b ey t ih d /e * x a c er b a t e d
exacerbations  /ih g z ae s er b ey sh ih en z /e * x a c er b a * * tion s
exactly  /ih g z ae k t el iy /e * x a c t l y
exaggerated  /ih g z ae jh er ey t ih d /e * x a gg er a t e d
exam  /ih g z ae m /e * x a m
examination  /ih g z ae m ih en ey sh ih en /e * x a m i n a * * tion
examined  /ih g z ae m ih en d /e * x a m i n ed
example  /ih g z ae m p el /e * x a m p le  
examples  /ih g z ae m p el z /e * x a m p le s
exboyfriend  /eh k s b oy f r eh en d /e * x b oy f ri e n d
excellent  /eh k s el ah en t /e * xc ell e n t
except  /ih k s eh p t /e * xc e p t
exception  /ih k s eh p sh ih en /e * xc e p * * tion
excess  /eh k s eh s /e * xc e ss
exchange  /ih k s ch ey en jh /e * x ch a n ge  
exchanged  /ih k s ch ey en jh d /e * x ch a n g ed
excited  /ih k s ay t ih d /e * xc i t e d
excitement  /ih k s ay t m ah en t /e * xc i te m e n t
exciting  /ih k s ay t ih ng /e * xc i t i ng
exclaiming  /ih k s k el ey m ih ng /e * x c l ai m i ng
excluded  /ih k s k el uw d ih d /e * x c l u d e d
exclusive  /ih k s k el uw s ih v /e * x c l u s i ve  
execute  /eh k s ih k y uw t /e * x e c * u te  
execution  /eh k s ih k y uw sh ih en /e * x e c * u * * tion
executive  /ih g z eh k y uw t ih v /e * x e c * u t i ve  
exercise  /eh k s er s ay z /e * x er c i se  
exercises  /eh k s er s ay z ih z /e * x er c i s e s
exhibited  /ih g z ih b ah t ih d /e * xh i b i t e d
exhibits  /ih g z ih b ah t s /e * xh i b i t s
exhusband  /eh k s hh ah z b ah en d /e * x h u s b a n d
exist  /ih g z ih s t /e * x i s t
existed  /ih g z ih s t ih d /e * x i s t e d
existence  /ih g z ih s t ih en s /e * x i s t e n ce  
existing  /ih g z ih s t ih ng /e * x i s t i ng
exists  /ih g z ih s t s /e * x i s t s
exotic  /ih g z ao t ih k /e * x o t i c
expect  /eh k s p eh k t /e * x p e c t
expectations  /eh k s p eh k t ey sh ih en z /e * x p e c t a * * tion s
expected  /eh k s p eh k t ih d /e * x p e c t e d
expecting  /eh k s p eh k t ih ng /e * x p e c t i ng
expects  /eh k s p eh k t s /e * x p e c t s
expense  /eh k s p eh en s /e * x p e n se  
expensive  /eh k s p eh en s ih v /e * x p e n s i ve  
experience  /ih k s p ih r iy ah en s /e * x p e r i e n ce  
experienced  /ih k s p ih r iy ah en s t /e * x p e r i e n c ed
experiment  /eh k s p eh r ah m ah en t /e * x p e r i m e n t
experiment's  /eh k s p eh r ah m ah en t s /e * x p e r i m e n t' s
experimental  /eh k s p eh r ah m eh en t ah el /e * x p e r i m e n t a l
experiments  /eh k s p eh r ah m ah en t s /e * x p e r i m e n t s
expertise  /eh k s p er t iy z /e * x p er t i se  
expertly  /eh k s p er t el iy /e * x p er t l y
experts  /eh k s p er t s /e * x p er t s
explain  /ih k s p el ey en /e * x p l ai n
explains  /ih k s p el ey en z /e * x p l ai n s
explanation  /eh k s p el ih en ey sh ih en /e * x p l a n a * * tion
explicitly  /ih k s p el ih s ih t el iy /e * x p l i c i t l y
exploring  /ih k s p el ao r ih ng /e * x p l o r i ng
explosion  /ih k s p el ow sh ih en /e * x p l o si o n
export  /eh k s p ao r t /e * x p o r t
exposed  /ih k s p ow z d /e * x p o s ed
exposure  /ih k s p ow sh er /e * x p o s ure  
expression  /ih k s p r eh sh ih en /e * x p r e ss i on
expressway  /ih k s p r eh s w ey /e * x p r e ss w ay
exquisite  /eh k s k w ih z ih t /e * x q u i s i te  
extended  /ih k s t eh en d ih d /e * x t e n d e d
extending  /ih k s t eh en d ih ng /e * x t e n d i ng
extensive  /ih k s t eh en s ih v /e * x t e n s i ve  
extent  /ih k s t eh en t /e * x t e n t
extra  /eh k s t r ah /e * x t r a
extraordinary  /ih k s t r ao r d en eh r iy /e * x t r ao r di n a r y
extremely  /ih k s t r iy m el iy /e * x t r e m el y
exultantly  /ih g z ah el t en t el iy /e * x u l ta n t l y
eye  /ay /eye  
eyebrow  /ay b r aw /eye b r ow
eyedrops  /ay d r ao p s /ey ed r o p s
eyelids  /ay el ih d z /ey el i d s
eyes  /ay z /eye s
eyestrain  /ay s t r ey en /eye s t r ai n
fabric  /f ae b r ih k /f a b r i c
fabrics  /f ae b r ih k s /f a b r i c s
face  /f ey s /f a ce  
faces  /f ey s ih z /f a c e s
fact  /f ae k t /f a c t
factions  /f ae k sh ih en z /f a c * * tion s
factors  /f ae k t er z /f a c t or s
facts  /f ae k t s /f a c t s
faculty  /f ae k el t iy /f a cu l t y
faded  /f ey d ih d /f a d e d
fail  /f ey el /f ai l
failed  /f ey el d /f ai l ed
fails  /f ey el z /f ai l s
failure  /f ey el y er /f ai l u re  
faint  /f ey en t /f ai n t
fair  /f ae r /f ai r
fairly  /f ae r el iy /f ai r l y
fairy  /f ae r iy /f ai r y
faith  /f ey th /f ai th
fall  /f ao el /f a ll
fallen  /f ao el ih en /f a ll e n
fallout  /f ao el aw t /f a ll ou t
falls  /f ao el z /f a ll s
false  /f ao el s /f a l se  
falters  /f ao el t er z /f a l t er s
fame  /f ey m /f a me  
familiar  /f ah m ih el y er /f a m i l i ar
familiarity  /f ah m ih el y ae r ah t iy /f a m i l i a r i t y
family  /f ae m el iy /f a mi l y
famous  /f ey m ah s /f a m ou s
fan  /f ae en /f a n
fancier  /f ae en s iy er /f a n c i er
fancy  /f ae en s iy /f a n c y
fangs  /f ae ng z /f a ng s
far  /f ao r /f a r
farm  /f ao r m /f a r m
farmer's  /f ao r m er z /f a r m er' s
farmers  /f ao r m er z /f a r m er s
farmhouses  /f ao r m hh aw z ih z /f a r m h ou s e s
farmland  /f ao r m el ae en d /f a r m l a n d
farmyard  /f ao r m y ao r d /f a r m y a r d
farther  /f ao r dh er /f a r th er
fascinating  /f ae s en ey t ih ng /f a sci n a t i ng
fashion  /f ae sh ih en /f a sh i on
fashioned  /f ae sh ih en d /f a sh i on ed
fast  /f ae s t /f a s t
fast-opening  /f ae s t ow p ah en ih ng /f a s t- o p e n i ng
faster  /f ae s t er /f a s t er
fat  /f ae t /f a t
father  /f ao dh er /f a th er
father's  /f ao dh er z /f a th er' s
fathers  /f ao dh er z /f a th er s
fatigue  /f ah t iy g /f a t i gue  
fatigued  /f ah t iy g d /f a t i gu ed
fatigues  /f ah t iy g z /f a t i gue s
fault  /f ao el t /f au l t
faults  /f ao el t s /f au l t s
favor  /f ey v er /f a v or
favorable  /f ey v er ah b el /f a v or a b le  
favorite  /f ey v er ih t /f a v or i te  
fawn  /f ao en /f aw n
fear  /f ih r /f ea r
feared  /f ih r d /f ea r ed
fearful  /f ih r f el /f ea r fu l
fears  /f ih r z /f ea r s
feasible  /f iy z ah b el /f ea s i b le  
feast  /f iy s t /f ea s t
feather  /f eh dh er /f ea th er
feathered  /f eh dh er d /f ea th er ed
feathers  /f eh dh er z /f ea th er s
features  /f iy ch er z /f ea t ure s
feed  /f iy d /f ee d
feel  /f iy el /f ee l
feeling  /f iy el ih ng /f ee l i ng
feelings  /f iy el ih ng z /f ee l i ng s
feels  /f iy el z /f ee l s
feet  /f iy t /f ee t
fell  /f eh el /f e ll
fella  /f eh el ah /f e ll a
fellowship  /f eh el ow sh ih p /f e ll ow sh i p
felt  /f eh el t /f e l t
female  /f iy m ey el /f e m a le  
fenced  /f eh en s t /f e n c ed
fences  /f eh en s ih z /f e n c e s
fermented  /f er m eh en t ih d /f er m e n t e d
ferries  /f eh r iy z /f e rr ie s
fertilizers  /f er t ah el ay z er z /f er t i l i z er s
fever  /f iy v er /f e v er
feverishly  /f iy v er ih sh el iy /f e v er i sh l y
few  /f y uw /f * ew
fewer  /f y uw er /f * ew er
fibers  /f ay b er z /f i b er s
fibrosis  /f ay b r ow s ih s /f i b r o s i s
fiction  /f ih k sh ih en /f i c * * tion
fiddles  /f ih d el z /f i dd le s
field  /f iy el d /f i el d
fields  /f iy el d z /f i el d s
fieldwork  /f iy el d w er k /f i el d w or k
fiercely  /f ih r s el iy /f ie r c el y
fiercest  /f ih r s ih s t /f ie r c e s t
fiery  /f ay r iy /f ie r y
fifteen  /f ih f t iy en /f i f t ee n
fifth  /f ih f th /f i f th
fifty  /f ih f t iy /f i f t y
fight  /f ay t /f igh t
fights  /f ay t s /f igh t s
figure  /f ih g y er /f i g u re  
figured  /f ih g y er d /f i g u r ed
figures  /f ih g y er z /f i g u re s
file  /f ay el /f i le  
files  /f ay el z /f i le s
fill  /f ih el /f i ll
filling  /f ih el ih ng /f i ll i ng
film  /f ih el m /f i l m
films  /f ih el m z /f i l m s
filtered  /f ih el t er d /f i l t er ed
filtering  /f ih el t er ih ng /f i l t er i ng
final  /f ay en el /f i n al
finally  /f ay en el iy /f i n all y
financing  /f ay en ae en s ih ng /f i n a n c i ng
find  /f ay en d /f i n d
finding  /f ay en d ih ng /f i n d i ng
finds  /f ay en d z /f i n d s
fine  /f ay en /f i ne  
fine-feathered  /f ay en f eh dh er d /f i ne- f ea th er ed
finger  /f ih ng g er /f i n g er
fingerprints  /f ih ng g er p r ih en t s /f i n g er p r i n t s
fingers  /f ih ng g er z /f i n g er s
finish  /f ih en ih sh /f i n i sh
finishing  /f ih en ih sh ih ng /f i n i sh i ng
fire  /f ay er /f i re  
firebug  /f ay er b ah g /f i re b u g
firecrackers  /f ay er k r ae k er z /f i re c r a ck er s
fireplace  /f ay er p el ey s /f i re p l a ce  
fires  /f ay er z /f i re s
firing  /f ay er ih ng /f i r i ng
firmly  /f er m el iy /f ir m l y
firmness  /f er m en ih s /f ir m n e ss
firms  /f er m z /f ir m s
first  /f er s t /f ir s t
fiscal  /f ih s k el /f i s c al
fish  /f ih sh /f i sh
fishermen  /f ih sh er m eh en /f i sh er m e n
fishing  /f ih sh ih ng /f i sh i ng
fist  /f ih s t /f i s t
fists  /f ih s t s /f i s t s
fit  /f ih t /f i t
fitfully  /f ih t f el iy /f i t fu ll y
five  /f ay v /f i ve  
five-hundred  /f ay v hh ah en d r ah d /f i ve- h u n d r e d
fix  /f ih k s /f i * x
fixed  /f ih k s t /f i * x ed
fjords  /f iy ao r d z /f j o r d s
flag  /f el ae g /f l a g
flame  /f el ey m /f l a me  
flash  /f el ae sh /f l a sh
flashing  /f el ae sh ih ng /f l a sh i ng
flat  /f el ae t /f l a t
flat-bottomed  /f el ae t b ao t m d /f l a t- b o tto m ed
flawless  /f el ao el ah s /f l aw l e ss
flaxseed  /f el ae k s iy d /f l a * xs ee d
fled  /f el eh d /f l e d
fleecy  /f el iy s iy /f l ee c y
flesh  /f el eh sh /f l e sh
flew  /f el uw /f l ew
flexibility  /f el eh k s ah b ih el ih t iy /f l e * x i b i l i t y
flexible  /f el eh k s ah b el /f l e * x i b le  
flickered  /f el ih k er d /f l i ck er ed
flies  /f el ay z /f l ie s
flimsy  /f el ih m z iy /f l i m s y
flip  /f el ih p /f l i p
float  /f el ow t /f l oa t
floc  /f el ao k /f l o c
flood  /f el ah d /f l oo d
floor  /f el ao r /f l oo r
floorboards  /f el ao r b ao r d z /f l oo r b oa r d s
flopped  /f el ao p t /f l o pp ed
flourish  /f el ah r ih sh /f l ou r i sh
flourishes  /f el ah r ih sh ih z /f l ou r i sh e s
flow  /f el ow /f l ow  
flower  /f el aw er /f l ow er
flowerpot  /f el aw er p ao t /f l ow er p o t
flowers  /f el aw er z /f l ow er s
flu  /f el uw /f l u
fluent  /f el uw ah en t /f l u e n t
fluid  /f el uw ih d /f l u i d
flurries  /f el er iy z /f l urr ie s
fluttered  /f el ah t er d /f l u tt er ed
flying  /f el ay ih ng /f l y i ng
foam  /f ow m /f oa m
foamy  /f ow m iy /f oa m y
focus  /f ow k ih s /f o c u s
fog  /f ao g /f o g
foil  /f oy el /f oi l
fold  /f ow el d /f o l d
folded  /f ow el d ih d /f o l d e d
folds  /f ow el d z /f o l d s
follow  /f ao el ow /f o ll ow  
followed  /f ao el ow d /f o ll ow ed
following  /f ao el ow ih ng /f o ll ow i ng
follows  /f ao el ow z /f o ll ow s
food  /f uw d /f oo d
foods  /f uw d z /f oo d s
fool  /f uw el /f oo l
fooling  /f uw el ih ng /f oo l i ng
foolish  /f uw el ih sh /f oo l i sh
fools  /f uw el z /f oo l s
foot  /f uh t /f oo t
football  /f uh t b ao el /f oo t b a ll
footfall  /f uh t f ao el /f oo t f a ll
footnotes  /f uh t en ow t s /f oo t n o te s
for  /f ao r /f o r
forbidden  /f ao r b ih d en /f o r b i dd en
force  /f ao r s /f o r ce  
forced  /f ao r s t /f o r c ed
forces  /f ao r s ih z /f o r c e s
forecasts  /f ao r k ae s t s /f o re c a s t s
forehead  /f ao r hh eh d /f o re h ea d
foreign  /f ao r ah en /f o r ei gn
foreigners  /f ao r ah en er z /f o r ei gn er s
forest  /f ao r ih s t /f o r e s t
forever  /f er eh v er /f or e v er
forged  /f ao r jh d /f o r g ed
forgery  /f ao r jh er iy /f o r g er y
forget  /f ao r g eh t /f o r g e t
forgiveness  /f ao r g ih v en ih s /f o r g i v en e ss
forgot  /f ao r g ao t /f o r g o t
form  /f ao r m /f o r m
formality  /f ao r m ae el ih t iy /f o r m a l i t y
formation  /f ao r m ey sh ih en /f o r m a * * tion
formed  /f ao r m d /f o r m ed
former  /f ao r m er /f o r m er
forms  /f ao r m z /f o r m s
formula  /f ao r m y uh el ah /f o r m * u l a
formulation  /f ao r m y uh el ey sh ih en /f o r m * u l a * * tion
forth  /f ao r th /f o r th
fortune  /f ao r ch ih en /f o r t u ne  
forty  /f ao r t iy /f o r t y
forty-seven  /f ao r t iy s eh v ah en /f o r t y- s e v e n
forward  /f ao r w er d /f o r w ar d
fosters  /f ao s t er z /f o s t er s
fought  /f ao t /f ough t
foul  /f aw el /f ou l
found  /f aw en d /f ou n d
four  /f ao r /f ou r
frame  /f r ey m /f r a me  
framework  /f r ey m w er k /f r a me w or k
frankfurter  /f r ae ng k f er t er /f r a n k f ur t er
frankfurters  /f r ae ng k f er t er z /f r a n k f ur t er s
frantically  /f r ae en t ih k el iy /f r a n t i c all y
freed  /f r iy d /f r ee d
freedom  /f r iy d ah m /f r ee d o m
freely  /f r iy el iy /f r ee l y
